DGUID,DAUID,PRUID,ERUID,leaf_tag,assignment
2021S051210010278,10010278,10,1010,avalon,nearest-seed-within-er
2021S051210010279,10010279,10,1010,avalon,nearest-seed-within-er
2021S051210010280,10010280,10,1010,avalon,nearest-seed-within-er
2021S051210010281,10010281,10,1010,avalon,nearest-seed-within-er
2021S051210010282,10010282,10,1010,avalon,nearest-seed-within-er
2021S051210010283,10010283,10,1010,avalon,nearest-seed-within-er
2021S051210010284,10010284,10,1010,avalon,nearest-seed-within-er
2021S051210010285,10010285,10,1010,avalon,nearest-seed-within-er
2021S051210010286,10010286,10,1010,avalon,nearest-seed-within-er
2021S051210010290,10010290,10,1010,avalon,nearest-seed-within-er
2021S051210010294,10010294,10,1010,avalon,nearest-seed-within-er
2021S051210010295,10010295,10,1010,avalon,nearest-seed-within-er
2021S051210010296,10010296,10,1010,avalon,nearest-seed-within-er
2021S051210010297,10010297,10,1010,avalon,nearest-seed-within-er
2021S051210010298,10010298,10,1010,avalon,nearest-seed-within-er
2021S051210010299,10010299,10,1010,avalon,nearest-seed-within-er
2021S051210010300,10010300,10,1010,avalon,nearest-seed-within-er
2021S051210010301,10010301,10,1010,avalon,nearest-seed-within-er
2021S051210010302,10010302,10,1010,avalon,nearest-seed-within-er
2021S051210010303,10010303,10,1010,avalon,nearest-seed-within-er
2021S051210010304,10010304,10,1010,avalon,nearest-seed-within-er
2021S051210010305,10010305,10,1010,avalon,nearest-seed-within-er
2021S051210010306,10010306,10,1010,avalon,nearest-seed-within-er
2021S051210010307,10010307,10,1010,avalon,nearest-seed-within-er
2021S051210010308,10010308,10,1010,avalon,nearest-seed-within-er
2021S051210010309,10010309,10,1010,avalon,nearest-seed-within-er
2021S051210010310,10010310,10,1010,avalon,nearest-seed-within-er
2021S051210010337,10010337,10,1010,avalon,nearest-seed-within-er
2021S051210010338,10010338,10,1010,avalon,nearest-seed-within-er
2021S051210010339,10010339,10,1010,avalon,nearest-seed-within-er
2021S051210010340,10010340,10,1010,avalon,nearest-seed-within-er
2021S051210010341,10010341,10,1010,avalon,nearest-seed-within-er
2021S051210010342,10010342,10,1010,avalon,nearest-seed-within-er
2021S051210010343,10010343,10,1010,avalon,nearest-seed-within-er
2021S051210010344,10010344,10,1010,avalon,nearest-seed-within-er
2021S051210010345,10010345,10,1010,avalon,nearest-seed-within-er
2021S051210010346,10010346,10,1010,avalon,nearest-seed-within-er
2021S051210010348,10010348,10,1010,avalon,nearest-seed-within-er
2021S051210010356,10010356,10,1010,avalon,nearest-seed-within-er
2021S051210010357,10010357,10,1010,avalon,nearest-seed-within-er
2021S051210010457,10010457,10,1010,avalon,nearest-seed-within-er
2021S051210010458,10010458,10,1010,avalon,nearest-seed-within-er
2021S051210010459,10010459,10,1010,avalon,nearest-seed-within-er
2021S051210010460,10010460,10,1010,avalon,nearest-seed-within-er
2021S051210010461,10010461,10,1010,avalon,nearest-seed-within-er
2021S051210010482,10010482,10,1010,avalon,nearest-seed-within-er
2021S051210010484,10010484,10,1010,avalon,nearest-seed-within-er
2021S051210010485,10010485,10,1010,avalon,nearest-seed-within-er
2021S051210010486,10010486,10,1010,avalon,nearest-seed-within-er
2021S051210010488,10010488,10,1010,avalon,nearest-seed-within-er
2021S051210010489,10010489,10,1010,avalon,nearest-seed-within-er
2021S051210010490,10010490,10,1010,avalon,nearest-seed-within-er
2021S051210010491,10010491,10,1010,avalon,nearest-seed-within-er
2021S051210010492,10010492,10,1010,avalon,nearest-seed-within-er
2021S051210010493,10010493,10,1010,avalon,nearest-seed-within-er
2021S051210010494,10010494,10,1010,avalon,nearest-seed-within-er
2021S051210010495,10010495,10,1010,avalon,nearest-seed-within-er
2021S051210010496,10010496,10,1010,avalon,nearest-seed-within-er
2021S051210010497,10010497,10,1010,avalon,nearest-seed-within-er
2021S051210010498,10010498,10,1010,avalon,nearest-seed-within-er
2021S051210010499,10010499,10,1010,avalon,nearest-seed-within-er
2021S051210010500,10010500,10,1010,avalon,nearest-seed-within-er
2021S051210010501,10010501,10,1010,avalon,nearest-seed-within-er
2021S051210010502,10010502,10,1010,avalon,nearest-seed-within-er
2021S051210010503,10010503,10,1010,avalon,nearest-seed-within-er
2021S051210010504,10010504,10,1010,avalon,nearest-seed-within-er
2021S051210010505,10010505,10,1010,avalon,nearest-seed-within-er
2021S051210010506,10010506,10,1010,avalon,nearest-seed-within-er
2021S051210010507,10010507,10,1010,avalon,nearest-seed-within-er
2021S051210010508,10010508,10,1010,avalon,nearest-seed-within-er
2021S051210010509,10010509,10,1010,avalon,nearest-seed-within-er
2021S051210010510,10010510,10,1010,avalon,nearest-seed-within-er
2021S051210010511,10010511,10,1010,avalon,nearest-seed-within-er
2021S051210010512,10010512,10,1010,avalon,nearest-seed-within-er
2021S051210010513,10010513,10,1010,avalon,nearest-seed-within-er
2021S051210010514,10010514,10,1010,avalon,nearest-seed-within-er
2021S051210010515,10010515,10,1010,avalon,nearest-seed-within-er
2021S051210010516,10010516,10,1010,avalon,nearest-seed-within-er
2021S051210010517,10010517,10,1010,avalon,nearest-seed-within-er
2021S051210010518,10010518,10,1010,avalon,nearest-seed-within-er
2021S051210010519,10010519,10,1010,avalon,nearest-seed-within-er
2021S051210010520,10010520,10,1010,avalon,nearest-seed-within-er
2021S051210010521,10010521,10,1010,avalon,nearest-seed-within-er
2021S051210010522,10010522,10,1010,avalon,nearest-seed-within-er
2021S051210010523,10010523,10,1010,avalon,nearest-seed-within-er
2021S051210010524,10010524,10,1010,avalon,nearest-seed-within-er
2021S051210010525,10010525,10,1010,avalon,nearest-seed-within-er
2021S051210010526,10010526,10,1010,avalon,nearest-seed-within-er
2021S051210010527,10010527,10,1010,avalon,nearest-seed-within-er
2021S051210010528,10010528,10,1010,avalon,nearest-seed-within-er
2021S051210010529,10010529,10,1010,avalon,nearest-seed-within-er
2021S051210010530,10010530,10,1010,avalon,nearest-seed-within-er
2021S051210010531,10010531,10,1010,avalon,nearest-seed-within-er
2021S051210010532,10010532,10,1010,avalon,nearest-seed-within-er
2021S051210010533,10010533,10,1010,avalon,nearest-seed-within-er
2021S051210010534,10010534,10,1010,avalon,nearest-seed-within-er
2021S051210010535,10010535,10,1010,avalon,nearest-seed-within-er
2021S051210010536,10010536,10,1010,avalon,nearest-seed-within-er
2021S051210010537,10010537,10,1010,avalon,nearest-seed-within-er
2021S051210010538,10010538,10,1010,avalon,nearest-seed-within-er
2021S051210010539,10010539,10,1010,avalon,nearest-seed-within-er
2021S051210010540,10010540,10,1010,avalon,nearest-seed-within-er
2021S051210010541,10010541,10,1010,avalon,nearest-seed-within-er
2021S051210010542,10010542,10,1010,avalon,nearest-seed-within-er
2021S051210010543,10010543,10,1010,avalon,nearest-seed-within-er
2021S051210010544,10010544,10,1010,avalon,nearest-seed-within-er
2021S051210010545,10010545,10,1010,avalon,nearest-seed-within-er
2021S051210010546,10010546,10,1010,avalon,nearest-seed-within-er
2021S051210010547,10010547,10,1010,avalon,nearest-seed-within-er
2021S051210010548,10010548,10,1010,avalon,nearest-seed-within-er
2021S051210010549,10010549,10,1010,avalon,nearest-seed-within-er
2021S051210010550,10010550,10,1010,avalon,nearest-seed-within-er
2021S051210010551,10010551,10,1010,avalon,nearest-seed-within-er
2021S051210010552,10010552,10,1010,avalon,nearest-seed-within-er
2021S051210010553,10010553,10,1010,avalon,nearest-seed-within-er
2021S051210010554,10010554,10,1010,avalon,nearest-seed-within-er
2021S051210010555,10010555,10,1010,avalon,nearest-seed-within-er
2021S051210010556,10010556,10,1010,avalon,nearest-seed-within-er
2021S051210010557,10010557,10,1010,avalon,nearest-seed-within-er
2021S051210010558,10010558,10,1010,avalon,nearest-seed-within-er
2021S051210010559,10010559,10,1010,avalon,nearest-seed-within-er
2021S051210010560,10010560,10,1010,avalon,nearest-seed-within-er
2021S051210010561,10010561,10,1010,avalon,nearest-seed-within-er
2021S051210010562,10010562,10,1010,avalon,nearest-seed-within-er
2021S051210010563,10010563,10,1010,avalon,nearest-seed-within-er
2021S051210010564,10010564,10,1010,avalon,nearest-seed-within-er
2021S051210010565,10010565,10,1010,avalon,nearest-seed-within-er
2021S051210010566,10010566,10,1010,avalon,nearest-seed-within-er
2021S051210010567,10010567,10,1010,avalon,nearest-seed-within-er
2021S051210010568,10010568,10,1010,avalon,nearest-seed-within-er
2021S051210010569,10010569,10,1010,avalon,nearest-seed-within-er
2021S051210010570,10010570,10,1010,avalon,nearest-seed-within-er
2021S051210010571,10010571,10,1010,avalon,nearest-seed-within-er
2021S051210010572,10010572,10,1010,avalon,nearest-seed-within-er
2021S051210010573,10010573,10,1010,avalon,nearest-seed-within-er
2021S051210010574,10010574,10,1010,avalon,nearest-seed-within-er
2021S051210010575,10010575,10,1010,avalon,nearest-seed-within-er
2021S051210010576,10010576,10,1010,avalon,nearest-seed-within-er
2021S051210010577,10010577,10,1010,avalon,nearest-seed-within-er
2021S051210010578,10010578,10,1010,avalon,nearest-seed-within-er
2021S051210010579,10010579,10,1010,avalon,nearest-seed-within-er
2021S051210010580,10010580,10,1010,avalon,nearest-seed-within-er
2021S051210010581,10010581,10,1010,avalon,nearest-seed-within-er
2021S051210010582,10010582,10,1010,avalon,nearest-seed-within-er
2021S051210010583,10010583,10,1010,avalon,nearest-seed-within-er
2021S051210010584,10010584,10,1010,avalon,nearest-seed-within-er
2021S051210010585,10010585,10,1010,avalon,nearest-seed-within-er
2021S051210010586,10010586,10,1010,avalon,nearest-seed-within-er
2021S051210010587,10010587,10,1010,avalon,nearest-seed-within-er
2021S051210010588,10010588,10,1010,avalon,nearest-seed-within-er
2021S051210010589,10010589,10,1010,avalon,nearest-seed-within-er
2021S051210010590,10010590,10,1010,avalon,nearest-seed-within-er
2021S051210010591,10010591,10,1010,avalon,nearest-seed-within-er
2021S051210010592,10010592,10,1010,avalon,nearest-seed-within-er
2021S051210010593,10010593,10,1010,avalon,nearest-seed-within-er
2021S051210010594,10010594,10,1010,avalon,nearest-seed-within-er
2021S051210010595,10010595,10,1010,avalon,nearest-seed-within-er
2021S051210010596,10010596,10,1010,avalon,nearest-seed-within-er
2021S051210010597,10010597,10,1010,avalon,nearest-seed-within-er
2021S051210010598,10010598,10,1010,avalon,nearest-seed-within-er
2021S051210010599,10010599,10,1010,avalon,nearest-seed-within-er
2021S051210010600,10010600,10,1010,avalon,nearest-seed-within-er
2021S051210010601,10010601,10,1010,avalon,nearest-seed-within-er
